StreetCode1,StreetCode2,StreetCode3,Violation County,NViolations
35480,14780,14830,K,2
35480,45730,14730,K,1
35480,54050,14480,K,1
35530,0,0,K,4
35530,14380,54050,K,4
35570,15710,11710,K,1
35580,26005,38930,K,4
35620,79150,50920,BX,1
35630,14480,14530,K,1
35630,14530,14580,K,1
35630,14580,14630,K,1
35630,14680,45730,K,1
35630,19630,29630,K,1
35630,29630,33530,K,3
35630,32930,65030,K,2
35630,33530,32930,K,4
35630,65030,41730,K,1
35630,73030,14480,K,2
35680,12330,19630,K,2
35680,14530,14580,K,2
35680,26230,32600,K,4
35680,29630,33530,K,1
35680,32930,65030,K,2
35680,33530,32930,K,3
35680,53210,88830,K,1
35680,73030,14480,K,1
35730,14380,73030,K,1
35730,19630,29630,K,1
35730,94430,25130,K,1
35780,32600,32930,K,1
35830,0,0,K,1
35830,14630,45730,K,1
35830,14780,14830,K,1
35830,14830,14880,K,2
35830,73030,14480,K,1
35850,11710,13610,K,1
35930,0,0,K,1
35930,13880,65030,K,1
35980,26430,13880,K,1
35980,41730,40930,K,1
35980,65030,41730,K,1
36020,43720,74960,BX,1
36030,0,0,K,2
36030,14830,14880,K,5
36060,74870,12225,BX,2
36080,0,0,K,1
36080,13880,65030,K,1
36080,40230,40930,K,1
36080,65030,41730,K,1
36080,85530,19630,K,1
36130,29630,26430,K,1
36220,58620,53720,BX,1
36230,14380,73030,K,1
36230,40210,40230,K,1
36320,74780,74810,BX,2
36330,14130,14180,K,1
36330,26230,77930,K,1
36330,26430,13880,K,1
36380,26430,13880,K,4
36380,65030,88450,K,1
36380,85530,19630,K,1
36420,20120,26910,BX,1
36420,26700,26730,BX,1
36420,26760,26790,BX,1
36420,26820,61920,BX,2
36420,26940,52720,BX,1
36420,27060,27090,BX,1
36420,27300,29220,BX,2
36420,27780,27810,BX,1
36420,27810,65720,BX,1
36520,26670,26700,BX,1
36530,26230,77930,K,1
36580,56230,26230,K,1
36620,0,0,BX,1
36620,26610,26640,BX,1
36620,26670,26730,BX,1
36620,26730,26760,BX,2
36620,50120,26670,BX,1
36830,40230,44430,K,2
36880,40230,44430,K,1
36980,41730,40230,K,1
37080,40630,14530,K,1
37080,56230,26230,K,2
37180,14080,14130,K,1
37230,14030,41030,K,1
37230,14080,14130,K,1
37280,14180,14230,K,1
37420,30020,17120,BX,1
37460,9370,63870,K,1
37480,14180,14230,K,1
37515,44430,41030,K,1
37525,44430,41030,K,1
37610,14130,14180,K,1
37610,44430,41030,K,1
37630,41030,14080,K,1
37650,71750,29100,BX,1
37880,28970,41030,K,1
37880,38330,74230,K,1
37980,93830,26630,K,1
38030,38330,74230,K,1
38030,41730,40230,K,1
38030,77740,44430,K,1
38030,93130,26230,K,1
38030,93830,26630,K,1
38080,26230,56230,K,1
38080,50400,14180,K,1
38080,65570,41730,K,1
38080,93130,26230,K,1
38130,14080,85400,K,1
38130,14230,14280,K,1
38130,56630,50930,K,1
38130,85870,14080,K,1
38330,12130,86030,K,2
38330,40404,40404,K,1
38430,23330,54070,K,1
38430,64830,23330,K,1
38430,67030,64830,K,1
38430,73430,23530,K,2
38430,75430,86630,K,1
38430,86630,73430,K,1
38920,7820,67425,BX,1
38950,42730,56530,K,5
39220,0,0,BX,1
39230,42730,13430,K,2
39320,72720,52120,BX,2
39420,61220,53520,BX,1
39430,0,0,K,1
39430,86030,75430,K,1
39530,55430,38530,K,2
39730,41370,13430,K,1
39930,39830,73350,K,1
39930,73350,42730,K,2
40030,69030,94130,K,1
40120,26550,8020,BX,1
40230,0,0,K,2
40230,36380,23330,K,1
40230,75430,36930,K,1
40320,8930,14420,BX,3
40320,9320,78050,BX,1
40320,14420,47520,BX,2
40520,40404,40404,BX,1
40620,61220,53520,BX,1
40930,0,0,K,2
40930,19630,19630,K,1
40930,29630,26430,K,1
40930,73170,34535,K,1
40930,93830,69530,K,2
41030,14280,36430,K,2
41030,37525,37530,K,3
41030,38080,73480,K,1
41030,40930,47210,K,1
41030,76430,70330,K,1
41330,23230,51530,K,2
41330,85330,23230,K,1
41420,27750,27780,BX,1
41420,27840,27900,BX,1
41530,53870,68860,BX,1
41620,64020,34820,BX,1
41630,31530,42730,K,1
41630,54130,47130,K,1
41730,37580,37580,K,1
41730,37630,37680,K,1
41730,38180,38182,K,1
41730,64830,23330,K,1
41730,73690,36080,K,1
41830,44330,70930,K,2
41930,31830,19230,K,1
41930,69330,81430,K,1
41930,72730,69330,K,1
42020,23620,26550,BX,1
42320,75080,75120,BX,1
42330,0,0,K,1
42330,24245,11800,K,1
42330,70130,52930,K,1
42430,37750,20690,BX,1
42630,9830,9880,K,1
42630,9880,9930,K,1
42630,9980,17380,K,1
42630,10030,10080,K,1
42630,10280,10330,K,1
42630,10880,10980,K,1
42730,0,0,K,1
42730,10005,42330,K,2
42730,12930,12930,K,2
42730,18630,12930,K,1
42730,23330,85730,K,1
42730,26030,39930,K,1
42730,27130,39230,K,2
42730,27430,90130,K,2
42730,39730,76530,K,2
42730,40040,10005,K,4
42730,41450,73310,K,2
42730,49930,46530,K,1
42730,53230,89630,K,1
